,project,product,groupid,pushid,graph_date,origin,totalcost,tier23_cost,taskcount,tier23_taskcount
238,autoland,firefox,GaUvh6LeR8yfeOBzuLvbnw,75593,1546900364,push,17.7,2.2,250,26
239,autoland,firefox,QpJ5fJNdRQWgshRRBFLUSA,75594,1546900682,push,16.95,1.83,249,25
240,autoland,firefox,RuzY_kiCQsa_KoIEZMGrPA,75595,1546902500,push,64.07,3.69,2049,126
241,autoland,firefox,EAORNWsDSL6ddNHvgWVShw,75596,1546904058,push,16.85,2.15,256,27
242,autoland,firefox,VV-bttjCQIKnqf8FUpv2VA,75597,1546906333,push,16.95,2.34,251,24
243,autoland,firefox,X3cVy42lS5SfWV3c3B2prw,75598,1546907714,push,17.06,2.65,294,59
244,autoland,firefox,E_xf1GuaR7m_e8bUb4XuRw,75599,1546908492,push,16.57,1.97,252,24
245,autoland,firefox,HuxnT7Q5TkOG1rHPxezH9g,75600,1546908537,push,64.54,3.35,2018,91
246,autoland,firefox,bGHKtXUSQLGqe-LzzuH5qQ,75601,1546913505,push,64.08,3.89,2049,126
247,autoland,firefox,Y21R5MvyRPydoz9FHXvNnA,75602,1546915486,push,31.06,3.02,518,81
248,autoland,firefox,bqUbo4hnR7OecqOr4UaiZQ,75603,1546918740,push,18.67,2.62,252,27
249,autoland,firefox,dU6iWaGpQyi6qkReqzzl8g,75604,1546919011,push,19.01,2.7,250,27
